playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID
benedar01,1883,1,PHI,NL,3,15,3,4,1,0,0,4,,,0,4,,,,,,1862,3,31,USA,IL,Cornwall,1948,1,14,USA,CO,Denver,Art,Benedict,Arthur Melville,0,0,R,R,1883-05-14,1883-06-06,benea101,benedar01
breital01,1883,1,PHI,NL,1,2,0,0,0,0,0,0,,,0,1,,,,,,1857,11,9,USA,NY,Utica,1932,6,19,USA,NY,Utica,Alonzo,Breitenstein,Alonzo,150,70,0,0,1883-07-07,1883-07-07,breia101,breital01
colemjo01,1883,1,PHI,NL,90,354,33,83,12,8,0,32,,,15,39,,,,,,1863,3,6,USA,NY,Saratoga Springs,1922,5,31,USA,MI,Detroit,John,Coleman,John Francis,170,69,L,R,1883-05-01,1890-07-18,colej103,colemjo01
doyleco01,1883,1,PHI,NL,16,68,3,15,3,2,0,3,,,0,15,,,,,,1862,0,0,Ireland,0,0,1931,7,29,USA,TX,El Paso,Conny,Doyle,Cornelius J.,185,70,0,R,1883-06-23,1884-09-13,doylc101,doyleco01
farrasi01,1883,1,PHI,NL,99,377,41,88,19,8,0,29,,,4,37,,,,,,1859,8,10,USA,ME,Paris Hill,1935,5,7,USA,NY,New York,Sid,Farrar,Sidney Douglas,185,70,0,R,1883-05-01,1890-10-04,farrs101,farrasi01
fergubo01,1883,1,PHI,NL,86,329,39,85,9,2,0,27,,,18,21,,,,,,1845,1,31,USA,NY,Brooklyn,1894,5,3,USA,NY,Brooklyn,Bob,Ferguson,Robert Vavasour,149,69,B,R,1871-05-18,1884-07-01,fergb101,fergubo01
gallabi01,1883,2,PHI,NL,2,8,1,0,0,0,0,0,,,0,4,,,,,,1865,10,0,USA,PA,Philadelphia,1899,4,7,USA,PA,Philadelphia,Bill,Gallagher,William J.,0,0,0,L,1883-05-02,1884-06-18,gallb104,gallabi01
gladmbu01,1883,1,PHI,NL,1,4,1,0,0,0,0,0,,,0,2,,,,,,1863,11,0,USA,DC,Washington,1890,1,13,USA,DC,Washington,Buck,Gladmon,James Henry,0,0,0,0,1883-07-07,1886-07-17,gladb101,gladmbu01
grossem01,1883,1,PHI,NL,57,231,39,71,25,7,1,25,,,12,18,,,,,,1858,3,4,USA,IL,Chicago,1921,8,24,USA,WI,Eagle River,Emil,Gross,Emil Michael,190,72,R,R,1879-08-13,1884-07-14,grose101,grossem01
haganar01,1883,1,PHI,NL,17,59,3,6,1,1,0,3,,,0,20,,,,,,1863,3,17,USA,RI,Providence,1936,3,25,USA,RI,Providence,Art,Hagan,Arthur Charles,0,0,0,R,1883-06-30,1884-05-13,hagaa101,haganar01
harbibi01,1883,1,PHI,NL,73,280,32,62,12,3,0,21,,,24,20,,,,,,1855,3,29,USA,PA,Philadelphia,1924,3,16,USA,PA,Philadelphia,Bill,Harbridge,William Albert,162,0,L,L,1875-05-15,1884-10-03,harbb101,harbibi01
hendeha01,1883,1,PHI,NL,2,8,1,2,1,0,0,1,,,0,1,,,,,,1862,10,31,USA,PA,Philadelphia,1903,2,6,USA,PA,Philadelphia,Hardie,Henderson,James Harding,194,70,R,R,1883-05-02,1888-05-24,hendh102,hendeha01
