playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID
breital01,1883,1,PHI,NL,0,1,1,1,0,0,0,15,8,5,0,2,0,,9,,1,,0,27,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,
colemjo01,1883,1,PHI,NL,12,48,65,61,59,3,0,1615,772,291,17,48,159,,4.87,,9,,0,2546,4,510,,,,,,,,,,,,,,,,,,,,,,,,,,
fergubo01,1883,1,PHI,NL,0,0,1,0,0,0,0,3,2,1,0,0,0,,9,,0,,0,7,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
haganar01,1883,1,PHI,NL,1,14,17,16,15,0,0,411,207,83,2,33,39,,5.45,,22,,0,639,1,151,,,,,,,,,,,,,,,,,,,,,,,,,,
hendeha01,1883,1,PHI,NL,0,1,1,1,1,0,0,27,26,19,0,2,2,,19,,4,,0,56,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,
hilsech01,1883,1,PHI,NL,0,3,3,3,3,0,0,78,36,16,0,4,8,,5.54,,1,,0,122,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,
neaglja01,1883,1,PHI,NL,1,7,8,7,6,0,0,184,88,47,1,21,13,,6.9,,9,,0,300,1,77,,,,,,,,,,,,,,,,,,,,,,,,,,
purcebl01,1883,1,PHI,NL,2,6,11,9,7,0,0,240,110,39,0,12,30,,4.39,,7,,0,371,0,71,,,,,,,,,,,,,,,,,,,,,,,,,,
smithed01,1883,2,PHI,NL,0,1,1,1,0,0,0,21,18,12,0,3,2,,15.43,,1,,0,47,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,
colemjo01,1884,1,PHI,NL,5,15,21,19,14,1,0,463,216,84,9,22,37,,4.9,,8,,0,724,2,147,,,,,,,,,,,,,,,,,,,,,,,,,,
ferguch01,1884,1,PHI,NL,21,25,50,47,46,2,1,1250,443,164,13,93,194,,3.54,,33,,0,1844,3,297,,,,,,,,,,,,,,,,,,,,,,,,,,
fogarji01,1884,1,PHI,NL,0,0,1,0,0,0,0,3,2,0,0,0,1,,0,,1,,0,6,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
knighjo01,1884,1,PHI,NL,2,4,6,6,6,0,0,153,66,31,2,21,8,,5.47,,2,,0,246,0,53,,,,,,,,,,,,,,,,,,,,,,,,,,
mcelrji01,1884,1,PHI,NL,1,12,13,13,13,0,0,333,115,60,1,54,45,,4.86,,46,,0,507,0,112,,,,,,,,,,,,,,,,,,,,,,,,,,
millecy01,1884,3,PHI,NL,0,1,1,1,1,0,0,27,17,10,5,6,1,,10,,4,,0,50,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,
mortosp01,1884,1,PHI,NL,0,2,2,2,2,0,0,51,16,10,0,11,5,,5.29,,4,,0,83,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
